0.000000 0.000000 0.000000
0.097081 0.314159 0.000000
0.369316 0.628319 0.000000
0.762481 0.942478 0.000000
1.195133 1.256637 0.000000
1.570796 1.570796 0.000000
1.792699 1.884956 0.000000
1.779121 2.199115 0.000000
1.477265 2.513274 0.000000
0.873725 2.827433 0.000000
0.000000 3.141593 0.000000
-1.067886 3.455752 0.000000
-2.215898 3.769911 0.000000
-3.304082 4.084070 0.000000
-4.182965 4.398230 0.000000
-4.712389 4.712389 0.000000
-4.780531 5.026548 0.000000
-4.320723 5.340708 0.000000
-3.323847 5.654867 0.000000
-1.844530 5.969026 0.000000
